,title,description,price,rating,reviews,discount,trainer,total_hours,total_lectures,level
965,TOTAL: CompTIA Network+ Certification (N10-007),"Everything you need to pass the CompTIA Network+ Exam (N10-007) from Mike Meyers, CompTIA expert and bestselling author.",Current price$20.99,Rating: 4.7 out of 5,"(23,703)",$119.99,"Total Seminars • 750,000+ Enrollments, Mike Meyers",23 total hours,172 lectures,All Levels
966,Ansible for the Absolute Beginner - Hands-On - DevOps,This course introduces Ansible to the absolute beginner in DevOps. Practice Ansible with coding exercises in browser.,Current price$18.99,Rating: 4.6 out of 5,"(23,548)",$99.99,"Mumshad Mannambeth, KodeKloud Training",2.5 total hours,32 lectures,Beginner
967,[NEW] Complete Salesforce Administrator Certification Course,Updated August 2021 - Aligns with Latest Salesforce Exam - 60 Question Salesforce Practice Test Included!,Current price$17.99,Rating: 4.6 out of 5,"(23,016)",$99.99,"Mike Wheeler, Aaron Wheeler, Evan Wheeler, Zeke Wheeler",32 total hours,380 lectures,All Levels
968,AWS Certified Solutions Architect Associate Practice Exams,Be an AWS Solutions Architect! AWS Certified Solutions Architect Associate Practice Tests with new SAA-C02 topics!,Current price$14.99,Rating: 4.6 out of 5,"(21,882)",$29.99,"Jon Bonso | AWS Solutions Architect,AWS Certified Cloud Practitioner, Tutorials Dojo | AWS Certified Cloud Practitioner, AWS Certified Solutions Architect, AWS Certified Developer",,,All Levels
969,Information Security Awareness-ISO 27001:2013,Information Security Literate-Cyber security awareness course,Current price$17.99,Rating: 4.5 out of 5,"(21,512)",$74.99,infySEC Global,1 total hour,39 lectures,All Levels
970,The Absolute Beginners Guide to Cyber Security 2021 - Part 1,"Learn Cyber Security concepts such as hacking, malware, firewalls, worms, phishing, encryption, biometrics, BYOD & more",Current price$21.99,Rating: 4.6 out of 5,"(20,207)",$99.99,Alexander Oni,4 total hours,58 lectures,Beginner
971,Cisco CCNA 200-301 Exam: Complete Course with practical labs,The complete course to help you prepare and pass Cisco's newest CCNA 200-301 exam. Everything you need: Theory and labs,Current price$14.99,Rating: 4.7 out of 5,"(19,873)",$19.99,David Bombal,79 total hours,687 lectures,Beginner
972,AWS Certified Cloud Practitioner: 6 Full Practice Exams 2021,Pass your AWS Certified Cloud Practitioner CLF-C01 exam! 6 NEW AWS Certified Cloud Practitioner Practice Exams!,Current price$14.99,Rating: 4.6 out of 5,"(19,779)",$49.99,Mozdora Education,,,All Levels
973,Spring Framework Master Class - Java Spring the Modern Way,"Learn the magic of Java Spring Framework with Spring Boot, Spring JDBC, Spring AOP, Hibernate, JUnit & Mockito",Current price$21.99,Rating: 4.4 out of 5,"(19,715)",$129.99,in28Minutes Official,12 total hours,138 lectures,All Levels
974,Amazon Web Services (AWS) Certified - 4 Certifications!,"Videos, labs & practice exams - AWS Certified (Solutions Architect, Developer, SysOps Administrator, Cloud Practitioner)",Current price$14.99,Rating: 4.5 out of 5,"(19,203)",$89.99,"BackSpace Academy, Paul Coady",44.5 total hours,194 lectures,All Levels
975,Linux Command Line Basics,This is an introductory course to the Linux command Line. It's great for both Linux beginners and advanced Linux users.,Current price$14.99,Rating: 4.5 out of 5,"(19,194)",$89.99,Ahmed Alkabary,5 total hours,42 lectures,All Levels
976,The Complete Ethical Hacking Course: Beginner to Advanced!,"Learn how to do ethical hacking, penetration testing, web testing, and wifi hacking using kali linux!",Current price$17.99,Rating: 4.1 out of 5,"(28,341)",$99.99,"Ermin Kreponic, Aldin Omerdic",25 total hours,113 lectures,All Levels
977,AZ-303 Azure Architecture Technologies Exam Prep 2021,Prove your Azure Architect Technology skills to the world. Complete AZ-303 course. Update as of SEP 2021.,Current price$14.99,Rating: 4.5 out of 5,"(25,690)",$69.99,"Scott Duffy  • 550.000+ Students, Software Architect.ca",12.5 total hours,152 lectures,Intermediate
978,AZ-104 Microsoft Azure Administrator Exam Certification 2021,Prove your AZ-104 Microsoft Azure Administrator skills to the world. Updated as of SEP 2021.,Current price$14.99,Rating: 4.6 out of 5,"(25,341)",$39.99,"Scott Duffy  • 550.000+ Students, Software Architect.ca",12.5 total hours,162 lectures,Intermediate
979,CompTIA Security+ (SY0-601) Complete Course & Exam,CompTIA Security+ (SY0-601) Bootcamp - Your preparation for the world's best cybersecurity certification!,Current price$17.99,Rating: 4.7 out of 5,"(24,998)",$99.99,"Jason Dion • 600,000+ Enrollments Worldwide, Dion Training Solutions • ATO for ITIL & PRINCE2",21.5 total hours,274 lectures,All Levels
980,CCNA 2020 200-125 Video Boot Camp With Chris Bryant,"Join The 90,000+ Students Who Are Learning Real-World Skills AND Earning Their CCNA!",Current price$14.99,Rating: 4.7 out of 5,"(24,753)",$19.99,Chris Bryant,62.5 total hours,467 lectures,Beginner
981,TOTAL: CompTIA Network+ Certification (N10-007),"Everything you need to pass the CompTIA Network+ Exam (N10-007) from Mike Meyers, CompTIA expert and bestselling author.",Current price$20.99,Rating: 4.7 out of 5,"(23,703)",$119.99,"Total Seminars • 750,000+ Enrollments, Mike Meyers",23 total hours,172 lectures,All Levels
982,Ansible for the Absolute Beginner - Hands-On - DevOps,This course introduces Ansible to the absolute beginner in DevOps. Practice Ansible with coding exercises in browser.,Current price$18.99,Rating: 4.6 out of 5,"(23,548)",$99.99,"Mumshad Mannambeth, KodeKloud Training",2.5 total hours,32 lectures,Beginner
983,[NEW] Complete Salesforce Administrator Certification Course,Updated August 2021 - Aligns with Latest Salesforce Exam - 60 Question Salesforce Practice Test Included!,Current price$17.99,Rating: 4.6 out of 5,"(23,016)",$99.99,"Mike Wheeler, Aaron Wheeler, Evan Wheeler, Zeke Wheeler",32 total hours,380 lectures,All Levels
984,AWS Certified Solutions Architect Associate Practice Exams,Be an AWS Solutions Architect! AWS Certified Solutions Architect Associate Practice Tests with new SAA-C02 topics!,Current price$14.99,Rating: 4.6 out of 5,"(21,882)",$29.99,"Jon Bonso | AWS Solutions Architect,AWS Certified Cloud Practitioner, Tutorials Dojo | AWS Certified Cloud Practitioner, AWS Certified Solutions Architect, AWS Certified Developer",,,All Levels
985,Information Security Awareness-ISO 27001:2013,Information Security Literate-Cyber security awareness course,Current price$17.99,Rating: 4.5 out of 5,"(21,512)",$74.99,infySEC Global,1 total hour,39 lectures,All Levels
986,The Absolute Beginners Guide to Cyber Security 2021 - Part 1,"Learn Cyber Security concepts such as hacking, malware, firewalls, worms, phishing, encryption, biometrics, BYOD & more",Current price$21.99,Rating: 4.6 out of 5,"(20,207)",$99.99,Alexander Oni,4 total hours,58 lectures,Beginner
987,Cisco CCNA 200-301 Exam: Complete Course with practical labs,The complete course to help you prepare and pass Cisco's newest CCNA 200-301 exam. Everything you need: Theory and labs,Current price$14.99,Rating: 4.7 out of 5,"(19,873)",$19.99,David Bombal,79 total hours,687 lectures,Beginner
988,AWS Certified Cloud Practitioner: 6 Full Practice Exams 2021,Pass your AWS Certified Cloud Practitioner CLF-C01 exam! 6 NEW AWS Certified Cloud Practitioner Practice Exams!,Current price$14.99,Rating: 4.6 out of 5,"(19,779)",$49.99,Mozdora Education,,,All Levels
989,Spring Framework Master Class - Java Spring the Modern Way,"Learn the magic of Java Spring Framework with Spring Boot, Spring JDBC, Spring AOP, Hibernate, JUnit & Mockito",Current price$21.99,Rating: 4.4 out of 5,"(19,715)",$129.99,in28Minutes Official,12 total hours,138 lectures,All Levels
990,Amazon Web Services (AWS) Certified - 4 Certifications!,"Videos, labs & practice exams - AWS Certified (Solutions Architect, Developer, SysOps Administrator, Cloud Practitioner)",Current price$14.99,Rating: 4.5 out of 5,"(19,203)",$89.99,"BackSpace Academy, Paul Coady",44.5 total hours,194 lectures,All Levels
991,Linux Command Line Basics,This is an introductory course to the Linux command Line. It's great for both Linux beginners and advanced Linux users.,Current price$14.99,Rating: 4.5 out of 5,"(19,194)",$89.99,Ahmed Alkabary,5 total hours,42 lectures,All Levels
992,The Complete Ethical Hacking Course: Beginner to Advanced!,"Learn how to do ethical hacking, penetration testing, web testing, and wifi hacking using kali linux!",Current price$17.99,Rating: 4.1 out of 5,"(28,341)",$99.99,"Ermin Kreponic, Aldin Omerdic",25 total hours,113 lectures,All Levels
993,AZ-303 Azure Architecture Technologies Exam Prep 2021,Prove your Azure Architect Technology skills to the world. Complete AZ-303 course. Update as of SEP 2021.,Current price$14.99,Rating: 4.5 out of 5,"(25,690)",$69.99,"Scott Duffy  • 550.000+ Students, Software Architect.ca",12.5 total hours,152 lectures,Intermediate
994,AZ-104 Microsoft Azure Administrator Exam Certification 2021,Prove your AZ-104 Microsoft Azure Administrator skills to the world. Updated as of SEP 2021.,Current price$14.99,Rating: 4.6 out of 5,"(25,341)",$39.99,"Scott Duffy  • 550.000+ Students, Software Architect.ca",12.5 total hours,162 lectures,Intermediate
995,CompTIA Security+ (SY0-601) Complete Course & Exam,CompTIA Security+ (SY0-601) Bootcamp - Your preparation for the world's best cybersecurity certification!,Current price$17.99,Rating: 4.7 out of 5,"(24,998)",$99.99,"Jason Dion • 600,000+ Enrollments Worldwide, Dion Training Solutions • ATO for ITIL & PRINCE2",21.5 total hours,274 lectures,All Levels
996,CCNA 2020 200-125 Video Boot Camp With Chris Bryant,"Join The 90,000+ Students Who Are Learning Real-World Skills AND Earning Their CCNA!",Current price$14.99,Rating: 4.7 out of 5,"(24,753)",$19.99,Chris Bryant,62.5 total hours,467 lectures,Beginner
997,TOTAL: CompTIA Network+ Certification (N10-007),"Everything you need to pass the CompTIA Network+ Exam (N10-007) from Mike Meyers, CompTIA expert and bestselling author.",Current price$20.99,Rating: 4.7 out of 5,"(23,703)",$119.99,"Total Seminars • 750,000+ Enrollments, Mike Meyers",23 total hours,172 lectures,All Levels
998,Ansible for the Absolute Beginner - Hands-On - DevOps,This course introduces Ansible to the absolute beginner in DevOps. Practice Ansible with coding exercises in browser.,Current price$18.99,Rating: 4.6 out of 5,"(23,548)",$99.99,"Mumshad Mannambeth, KodeKloud Training",2.5 total hours,32 lectures,Beginner
999,[NEW] Complete Salesforce Administrator Certification Course,Updated August 2021 - Aligns with Latest Salesforce Exam - 60 Question Salesforce Practice Test Included!,Current price$17.99,Rating: 4.6 out of 5,"(23,016)",$99.99,"Mike Wheeler, Aaron Wheeler, Evan Wheeler, Zeke Wheeler",32 total hours,380 lectures,All Levels
1000,AWS Certified Solutions Architect Associate Practice Exams,Be an AWS Solutions Architect! AWS Certified Solutions Architect Associate Practice Tests with new SAA-C02 topics!,Current price$14.99,Rating: 4.6 out of 5,"(21,882)",$29.99,"Jon Bonso | AWS Solutions Architect,AWS Certified Cloud Practitioner, Tutorials Dojo | AWS Certified Cloud Practitioner, AWS Certified Solutions Architect, AWS Certified Developer",,,All Levels
1001,Information Security Awareness-ISO 27001:2013,Information Security Literate-Cyber security awareness course,Current price$17.99,Rating: 4.5 out of 5,"(21,512)",$74.99,infySEC Global,1 total hour,39 lectures,All Levels
1002,The Absolute Beginners Guide to Cyber Security 2021 - Part 1,"Learn Cyber Security concepts such as hacking, malware, firewalls, worms, phishing, encryption, biometrics, BYOD & more",Current price$21.99,Rating: 4.6 out of 5,"(20,207)",$99.99,Alexander Oni,4 total hours,58 lectures,Beginner
1003,Cisco CCNA 200-301 Exam: Complete Course with practical labs,The complete course to help you prepare and pass Cisco's newest CCNA 200-301 exam. Everything you need: Theory and labs,Current price$14.99,Rating: 4.7 out of 5,"(19,873)",$19.99,David Bombal,79 total hours,687 lectures,Beginner
1004,AWS Certified Cloud Practitioner: 6 Full Practice Exams 2021,Pass your AWS Certified Cloud Practitioner CLF-C01 exam! 6 NEW AWS Certified Cloud Practitioner Practice Exams!,Current price$14.99,Rating: 4.6 out of 5,"(19,779)",$49.99,Mozdora Education,,,All Levels
1005,Spring Framework Master Class - Java Spring the Modern Way,"Learn the magic of Java Spring Framework with Spring Boot, Spring JDBC, Spring AOP, Hibernate, JUnit & Mockito",Current price$21.99,Rating: 4.4 out of 5,"(19,715)",$129.99,in28Minutes Official,12 total hours,138 lectures,All Levels
1006,Amazon Web Services (AWS) Certified - 4 Certifications!,"Videos, labs & practice exams - AWS Certified (Solutions Architect, Developer, SysOps Administrator, Cloud Practitioner)",Current price$14.99,Rating: 4.5 out of 5,"(19,203)",$89.99,"BackSpace Academy, Paul Coady",44.5 total hours,194 lectures,All Levels
1007,Linux Command Line Basics,This is an introductory course to the Linux command Line. It's great for both Linux beginners and advanced Linux users.,Current price$14.99,Rating: 4.5 out of 5,"(19,194)",$89.99,Ahmed Alkabary,5 total hours,42 lectures,All Levels
1008,The Complete Ethical Hacking Course: Beginner to Advanced!,"Learn how to do ethical hacking, penetration testing, web testing, and wifi hacking using kali linux!",Current price$17.99,Rating: 4.1 out of 5,"(28,341)",$99.99,"Ermin Kreponic, Aldin Omerdic",25 total hours,113 lectures,All Levels
1009,AZ-303 Azure Architecture Technologies Exam Prep 2021,Prove your Azure Architect Technology skills to the world. Complete AZ-303 course. Update as of SEP 2021.,Current price$14.99,Rating: 4.5 out of 5,"(25,690)",$69.99,"Scott Duffy  • 550.000+ Students, Software Architect.ca",12.5 total hours,152 lectures,Intermediate
1010,AZ-104 Microsoft Azure Administrator Exam Certification 2021,Prove your AZ-104 Microsoft Azure Administrator skills to the world. Updated as of SEP 2021.,Current price$14.99,Rating: 4.6 out of 5,"(25,341)",$39.99,"Scott Duffy  • 550.000+ Students, Software Architect.ca",12.5 total hours,162 lectures,Intermediate
1011,CompTIA Security+ (SY0-601) Complete Course & Exam,CompTIA Security+ (SY0-601) Bootcamp - Your preparation for the world's best cybersecurity certification!,Current price$17.99,Rating: 4.7 out of 5,"(24,998)",$99.99,"Jason Dion • 600,000+ Enrollments Worldwide, Dion Training Solutions • ATO for ITIL & PRINCE2",21.5 total hours,274 lectures,All Levels
1012,CCNA 2020 200-125 Video Boot Camp With Chris Bryant,"Join The 90,000+ Students Who Are Learning Real-World Skills AND Earning Their CCNA!",Current price$14.99,Rating: 4.7 out of 5,"(24,753)",$19.99,Chris Bryant,62.5 total hours,467 lectures,Beginner
1013,TOTAL: CompTIA Network+ Certification (N10-007),"Everything you need to pass the CompTIA Network+ Exam (N10-007) from Mike Meyers, CompTIA expert and bestselling author.",Current price$20.99,Rating: 4.7 out of 5,"(23,703)",$119.99,"Total Seminars • 750,000+ Enrollments, Mike Meyers",23 total hours,172 lectures,All Levels
1014,Ansible for the Absolute Beginner - Hands-On - DevOps,This course introduces Ansible to the absolute beginner in DevOps. Practice Ansible with coding exercises in browser.,Current price$18.99,Rating: 4.6 out of 5,"(23,548)",$99.99,"Mumshad Mannambeth, KodeKloud Training",2.5 total hours,32 lectures,Beginner
1015,[NEW] Complete Salesforce Administrator Certification Course,Updated August 2021 - Aligns with Latest Salesforce Exam - 60 Question Salesforce Practice Test Included!,Current price$17.99,Rating: 4.6 out of 5,"(23,016)",$99.99,"Mike Wheeler, Aaron Wheeler, Evan Wheeler, Zeke Wheeler",32 total hours,380 lectures,All Levels
